DEPCOM,UN APPARTEMENT,UNE MAISON
77180.0,4175.082036271293,1230.3679282273897
77181.0,4398.978254492362,1254.7586682810952
77182.0,4444.544095557365,1339.0475929252295
77183.0,4236.834137488364,1240.9856771823447
77184.0,4332.563576420014,1340.699383417634
77185.0,3991.629827598993,1182.4444956065627
77186.0,4287.5098124145925,1242.4080083399392
77187.0,4538.046352025289,1442.0484593006092
77188.0,4393.354189000619,1124.4843152135113
77190.0,5416.078688158309,887.6644293137517
77191.0,4160.206921310891,1198.9548725554662
77192.0,4084.469064222772,1225.592484657032
77193.0,5020.961222278425,1178.781800172508
77194.0,4352.590016492969,1131.9243620296634
77195.0,3780.6538040344676,1500.9343182459836
77196.0,4358.326784247412,1232.6122728335256
77197.0,4751.406900603535,2696.907888060635
77198.0,4037.4639004841,515.0641910032268
77199.0,4374.175390043206,1254.4197895104091
77200.0,6406.25,600.8583690987125
77201.0,4200.165575741647,1311.67720252905
77202.0,4462.074888294818,1302.3491167018733
77203.0,4172.837985325504,1255.5154505940127
77204.0,4087.0470625727935,1413.458169381597
77205.0,6055.077113587751,1558.0366547293029
77206.0,5418.517620135409,584.5018837797836
77207.0,3699.3226898887274,1114.1664888559292
77208.0,4189.718059910648,1327.2415376524198
77209.0,4250.4031387964005,1114.6490751858069
77210.0,4362.7584167414025,1305.2268045122505
77211.0,4510.970979538743,1163.9430804321232
77212.0,3801.4918315420264,845.2797852647991
77214.0,3583.549429991483,871.5746175395594
77215.0,4369.538006884717,1314.6188337560318
77216.0,4382.7071268684385,1078.001380644964
77217.0,4281.362291379141,1164.6130883293372
77218.0,4181.123741767098,1288.4773121170203
77219.0,4320.3119457801195,1239.6242483891883
77220.0,4298.676801801802,1949.0177361513527
77221.0,4409.302258326094,1128.6339270101105
77222.0,4406.219996848847,1199.9218225310453
77223.0,4941.754845982506,1485.405858570554
77224.0,3917.625957468138,1322.9845326630152
77225.0,4383.896521345507,910.8282250578343
77226.0,4291.358664390396,1197.649681344618
77227.0,4346.020307418706,1257.4009851890837
77228.0,3734.4728812179246,583.7149610237731
77229.0,4287.5952455738825,1013.759399289452
77230.0,2925.92782330734,425.3064509665982
77231.0,3950.857505414401,944.2759116839709
77232.0,4028.190095682517,1288.1931243994395
77233.0,4083.585171761279,961.0935562123968
77234.0,4074.2283673705565,1193.3319821213465
77235.0,4357.137507769268,1067.213955789949
77236.0,4401.872002444101,1567.985263907549
